VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2020-01-01 00:00:00,2020-01-01 00:30:00,1,1.47,1,Y,165,79,1,17.5,0.74,0.14,2.84,1.81,0.44,23.47
2,2020-01-01 01:00:00,2020-01-01 01:30:00,1,5.78,2,Y,153,58,3,43.32,0.86,0.41,11.75,3.62,0.17,60.13
1,2020-01-01 02:00:00,2020-01-01 02:30:00,3,5.87,2,Y,76,26,4,5.01,1.69,0.14,10.73,1.0,0.23,18.8
1,2020-01-01 03:00:00,2020-01-01 03:30:00,2,6.74,1,N,87,226,2,5.8,0.54,0.41,8.9,1.02,0.21,16.88
1,2020-01-01 04:00:00,2020-01-01 04:30:00,2,7.53,2,N,117,285,5,32.11,0.31,0.27,13.44,0.05,0.01,46.19
2,2020-01-01 05:00:00,2020-01-01 05:30:00,1,9.78,1,N,27,4,4,21.42,1.71,0.44,8.75,2.19,0.15,34.66
1,2020-01-01 06:00:00,2020-01-01 06:30:00,4,5.65,2,Y,287,99,3,22.39,0.09,0.29,7.0,4.41,0.23,34.41
1,2020-01-01 07:00:00,2020-01-01 07:30:00,2,3.91,1,Y,134,39,2,30.4,1.24,0.01,5.11,0.26,0.21,37.23
1,2020-01-01 08:00:00,2020-01-01 08:30:00,4,8.16,1,N,219,271,2,13.63,1.12,0.34,14.11,0.96,0.36,30.52
2,2020-01-01 09:00:00,2020-01-01 09:30:00,2,3.44,1,Y,168,285,5,14.53,0.69,0.02,1.24,1.55,0.19,18.22
1,2020-01-01 10:00:00,2020-01-01 10:30:00,4,4.95,2,Y,98,157,1,26.81,0.63,0.23,13.96,3.66,0.24,45.53
1,2020-01-01 11:00:00,2020-01-01 11:30:00,3,1.71,2,Y,268,75,3,38.94,1.54,0.46,12.4,3.2,0.21,56.75
1,2020-01-01 12:00:00,2020-01-01 12:30:00,4,1.23,2,Y,237,288,5,32.88,0.17,0.08,1.95,2.08,0.37,37.53
1,2020-01-01 13:00:00,2020-01-01 13:30:00,3,9.66,1,Y,173,130,3,18.38,0.47,0.19,8.47,3.8,0.43,31.74
2,2020-01-01 14:00:00,2020-01-01 14:30:00,3,8.52,2,N,190,175,1,24.37,1.46,0.36,13.0,3.05,0.27,42.51
1,2020-01-01 15:00:00,2020-01-01 15:30:00,4,7.26,2,Y,122,84,1,12.68,1.1,0.44,8.58,4.48,0.39,27.67
2,2020-01-01 16:00:00,2020-01-01 16:30:00,3,4.68,1,N,46,22,5,8.36,0.26,0.34,13.61,4.09,0.15,26.81
2,2020-01-01 17:00:00,2020-01-01 17:30:00,1,2.56,3,Y,64,27,1,40.22,1.76,0.13,14.14,1.26,0.27,57.78
2,2020-01-01 18:00:00,2020-01-01 18:30:00,3,2.41,1,N,130,195,4,16.94,0.79,0.34,6.34,1.36,0.17,25.94
1,2020-01-01 19:00:00,2020-01-01 19:30:00,2,3.25,2,Y,193,236,2,13.0,1.66,0.15,5.66,0.63,0.21,21.31
2,2020-01-01 20:00:00,2020-01-01 20:30:00,4,5.94,1,N,181,92,5,36.12,1.58,0.36,14.04,1.68,0.37,54.15
1,2020-01-01 21:00:00,2020-01-01 21:30:00,1,7.43,3,Y,292,21,3,32.81,1.25,0.48,10.13,5.0,0.44,50.11
2,2020-01-01 22:00:00,2020-01-01 22:30:00,4,6.94,1,N,282,84,4,33.49,0.99,0.36,1.74,2.03,0.06,38.67
2,2020-01-01 23:00:00,2020-01-01 23:30:00,2,3.52,2,Y,29,262,5,15.3,1.96,0.43,0.63,1.1,0.32,19.74
2,2020-01-02 00:00:00,2020-01-02 00:30:00,2,9.59,3,N,149,147,1,15.47,0.29,0.0,8.47,3.81,0.29,28.33
2,2020-01-02 01:00:00,2020-01-02 01:30:00,2,7.64,2,Y,267,257,1,14.94,1.45,0.36,13.95,2.71,0.06,33.47
2,2020-01-02 02:00:00,2020-01-02 02:30:00,3,5.99,3,N,296,58,1,12.82,0.38,0.41,12.66,0.75,0.11,27.13
2,2020-01-02 03:00:00,2020-01-02 03:30:00,3,6.51,3,N,11,15,1,34.51,0.68,0.02,10.14,1.9,0.16,47.41
2,2020-01-02 04:00:00,2020-01-02 04:30:00,4,4.78,1,Y,164,162,3,43.16,0.62,0.44,2.09,2.07,0.08,48.46
2,2020-01-02 05:00:00,2020-01-02 05:30:00,4,3.23,1,Y,113,163,4,37.59,1.89,0.13,3.81,3.77,0.12,47.31
1,2020-01-02 06:00:00,2020-01-02 06:30:00,1,4.2,2,N,187,281,2,40.64,1.93,0.33,13.13,0.1,0.13,56.26
1,2020-01-02 07:00:00,2020-01-02 07:30:00,1,7.82,1,Y,295,280,3,23.22,0.37,0.4,2.74,1.35,0.17,28.25
2,2020-01-02 08:00:00,2020-01-02 08:30:00,4,1.13,1,N,232,12,3,34.43,0.04,0.33,4.18,2.59,0.37,41.94
2,2020-01-02 09:00:00,2020-01-02 09:30:00,3,2.04,3,N,227,274,2,20.94,1.44,0.05,1.94,1.34,0.29,26.0
2,2020-01-02 10:00:00,2020-01-02 10:30:00,2,1.41,1,N,98,271,2,28.65,0.84,0.3,10.14,3.14,0.49,43.56
1,2020-01-02 11:00:00,2020-01-02 11:30:00,4,1.37,3,Y,55,208,1,26.67,0.18,0.27,14.16,2.41,0.21,43.9
2,2020-01-02 12:00:00,2020-01-02 12:30:00,1,8.7,3,N,111,27,3,12.96,1.37,0.45,4.03,1.81,0.38,21.0
